ISO3,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,IsTotal,IsPreferred,SDRID,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,Value_log
ZAF,795160,Sex before the age of 15 [Women],8,1,ZA,South Africa,1998,ZA1998DHS,HA_AFSY_W_A15,135763010,I,1000,0,Total,Total,0,1,1,HAAFSYWA15,1998,DHS,4324,4459,2.1972245773362196
ZAF,795161,Number of young women,4324,0,ZA,South Africa,1998,ZA1998DHS,HA_AFSY_W_NM1,135763020,D,1000,0,Total,Total,0,1,1,HAAFSYWNM1,1998,DHS,1787,4459,8.37216741936598
ZAF,796612,Number of young women (unweighted),4459,0,ZA,South Africa,1998,ZA1998DHS,HA_AFSY_W_UN1,135763030,U,1000,0,Total,Total,0,1,1,HAAFSYWUN1,1998,DHS,55,1995,8.40290404501411
ZAF,795358,Sex before the age of 18 [Women],54.5,1,ZA,South Africa,1998,ZA1998DHS,HA_AFSY_W_A18,135763040,I,1000,0,Total,Total,0,1,1,HAAFSYWA18,1998,DHS,2955,2993,4.0163830207523885
ZAF,795240,Number of young women age 18-24,2955,0,ZA,South Africa,1998,ZA1998DHS,HA_AFSY_W_NM2,135763050,D,1000,0,Total,Total,0,1,1,HAAFSYWNM2,1998,DHS,1787,2993,7.991592282068092
ZAF,796631,Number of young women age 18-24 (unweighted),2993,0,ZA,South Africa,1998,ZA1998DHS,HA_AFSY_W_UN2,135763060,U,1000,0,Total,Total,0,1,1,HAAFSYWUN2,1998,DHS,1787,1995,8.004365564979574
ZAF,795192,Young women never having sexual intercourse,40.3,1,ZA,South Africa,1998,ZA1998DHS,HA_PSXY_W_NSX,135803010,I,1000,0,Total,Total,0,1,1,HAPSXYWNSX,1998,DHS,3721,3857,3.720862499966987
ZAF,795191,Young women having premarital sex in last year,48.7,1,ZA,South Africa,1998,ZA1998DHS,HA_PSXY_W_SX1,135803020,I,1000,0,Total,Total,0,1,1,HAPSXYWSX1,1998,DHS,3721,3857,3.906004933102583
ZAF,795231,Number of never-married young women,3721,0,ZA,South Africa,1998,ZA1998DHS,HA_PSXY_W_NUM,135803030,D,1000,0,Total,Total,0,1,1,HAPSXYWNUM,1998,DHS,1787,3857,8.222016437202196
ZAF,796482,Number of never-married young women (unweighted),3857,0,ZA,South Africa,1998,ZA1998DHS,HA_PSXY_W_UNW,135803040,U,1000,0,Total,Total,0,1,1,HAPSXYWUNW,1998,DHS,3721,1995,8.257904193465674
ZAF,796410,Young women using a condom during premarital sex,21.8,1,ZA,South Africa,1998,ZA1998DHS,HA_PSXY_W_CND,135803050,I,1000,0,Total,Total,0,1,1,HAPSXYWCND,1998,DHS,1811,1858,3.126760535960395
ZAF,796412,Number of never-married young women who had sex in the past year,1811,0,ZA,South Africa,1998,ZA1998DHS,HA_PSXY_W_NM1,135803060,D,1000,0,Total,Total,0,1,1,HAPSXYWNM1,1998,DHS,1787,1858,7.502186486602924
